Date,Word,Count
2020-01-01,hearing,87
2020-01-01,results,84
2020-01-01,study,83
2020-01-01,data,68
2020-01-01,using,61
2020-01-01,used,57
2020-01-01,language,54
2020-01-01,patients,54
2020-01-02,study,118
2020-01-02,results,117
2020-01-02,language,106
2020-01-02,hearing,102
2020-01-02,data,84
2020-01-02,using,82
2020-01-02,used,78
2020-01-02,analysis,67
2020-01-03,study,128
2020-01-03,results,123
2020-01-03,language,109
2020-01-03,hearing,105
2020-01-03,data,91
2020-01-03,used,87
2020-01-03,using,86
2020-01-03,analysis,73
2020-01-04,study,130
2020-01-04,results,129
2020-01-04,language,112
2020-01-04,hearing,105
2020-01-04,used,93
2020-01-04,data,91
2020-01-04,using,90
2020-01-04,analysis,73
2020-01-05,study,132
2020-01-05,results,132
2020-01-05,language,116
2020-01-05,hearing,105
2020-01-05,used,93
2020-01-05,data,92
2020-01-05,using,90
2020-01-05,recognition,77
2020-01-06,results,140
2020-01-06,study,138
2020-01-06,language,117
2020-01-06,hearing,105
2020-01-06,data,97
2020-01-06,using,95
2020-01-06,used,94
2020-01-06,patients,89
2020-01-07,results,146
2020-01-07,study,143
2020-01-07,language,120
2020-01-07,hearing,107
2020-01-07,data,105
2020-01-07,used,98
2020-01-07,using,96
2020-01-07,patients,90
2020-01-08,results,153
2020-01-08,study,152
2020-01-08,hearing,149
2020-01-08,language,139
2020-01-08,data,109
2020-01-08,used,103
2020-01-08,using,97
2020-01-08,children,92
2020-01-09,results,158
2020-01-09,study,158
2020-01-09,hearing,152
2020-01-09,language,149
2020-01-09,data,109
2020-01-09,used,105
2020-01-09,using,104
2020-01-09,patients,99
2020-01-10,study,177
2020-01-10,results,170
2020-01-10,hearing,158
2020-01-10,language,156
2020-01-10,data,122
2020-01-10,patients,121
2020-01-10,used,116
2020-01-10,using,112
2020-01-11,study,180
2020-01-11,results,170
2020-01-11,language,168
2020-01-11,hearing,158
2020-01-11,data,122
2020-01-11,patients,121
2020-01-11,used,117
2020-01-11,using,112
2020-01-12,study,190
2020-01-12,results,171
2020-01-12,language,171
2020-01-12,hearing,158
2020-01-12,data,122
2020-01-12,patients,121
2020-01-12,used,119
2020-01-12,using,112
2020-01-13,study,194
2020-01-13,results,180
2020-01-13,language,173
2020-01-13,hearing,158
2020-01-13,data,128
2020-01-13,patients,121
2020-01-13,used,121
2020-01-13,using,116
2020-01-14,study,197
2020-01-14,results,190
2020-01-14,language,175
2020-01-14,hearing,164
2020-01-14,data,136
2020-01-14,used,128
2020-01-14,using,128
2020-01-14,patients,123
2020-01-15,study,203
2020-01-15,results,196
2020-01-15,language,183
2020-01-15,hearing,168
2020-01-15,data,145
2020-01-15,used,135
2020-01-15,using,133
2020-01-15,patients,126
2020-01-16,study,206
2020-01-16,results,197
2020-01-16,language,183
2020-01-16,hearing,168
2020-01-16,data,152
2020-01-16,used,138
2020-01-16,using,137
2020-01-16,patients,126
2020-01-17,study,212
2020-01-17,results,210
2020-01-17,language,190
2020-01-17,hearing,185
2020-01-17,data,159
2020-01-17,using,146
2020-01-17,used,141
2020-01-17,children,132
2020-01-18,study,212
2020-01-18,results,211
2020-01-18,language,191
2020-01-18,hearing,185
2020-01-18,data,159
2020-01-18,using,147
2020-01-18,used,141
2020-01-18,children,132
2020-01-19,study,212
2020-01-19,results,212
2020-01-19,language,193
2020-01-19,hearing,185
2020-01-19,data,159
2020-01-19,using,147
2020-01-19,used,141
2020-01-19,children,132
2020-01-20,results,223
2020-01-20,language,223
2020-01-20,study,219
2020-01-20,hearing,188
2020-01-20,data,166
2020-01-20,using,153
2020-01-20,used,151
2020-01-20,children,143
2020-01-21,language,255
2020-01-21,results,232
2020-01-21,study,231
2020-01-21,hearing,215
2020-01-21,data,169
2020-01-21,children,165
2020-01-21,using,161
2020-01-21,used,153
2020-01-22,language,260
2020-01-22,results,249
2020-01-22,study,239
2020-01-22,hearing,216
2020-01-22,data,170
2020-01-22,using,168
2020-01-22,children,165
2020-01-22,used,158
2020-01-23,results,264
2020-01-23,language,261
2020-01-23,study,248
2020-01-23,hearing,230
2020-01-23,using,178
2020-01-23,data,171
2020-01-23,children,169
2020-01-23,used,159
2020-01-24,results,272
2020-01-24,language,265
2020-01-24,study,251
2020-01-24,hearing,231
2020-01-24,data,191
2020-01-24,using,185
2020-01-24,children,172
2020-01-24,used,166
2020-01-25,results,274
2020-01-25,language,268
2020-01-25,study,252
2020-01-25,hearing,232
2020-01-25,data,204
2020-01-25,using,190
2020-01-25,children,172
2020-01-25,used,167
2020-01-26,results,276
2020-01-26,language,272
2020-01-26,study,254
2020-01-26,hearing,232
2020-01-26,data,205
2020-01-26,using,195
2020-01-26,children,173
2020-01-26,used,168
2020-01-27,results,287
2020-01-27,language,281
2020-01-27,study,266
2020-01-27,hearing,239
2020-01-27,data,208
2020-01-27,using,206
2020-01-27,used,179
2020-01-27,children,174
2020-01-28,results,292
2020-01-28,language,286
2020-01-28,study,270
2020-01-28,hearing,241
2020-01-28,data,215
2020-01-28,using,214
2020-01-28,used,184
2020-01-28,children,178
2020-01-29,results,301
2020-01-29,language,297
2020-01-29,study,275
2020-01-29,hearing,246
2020-01-29,using,220
2020-01-29,data,218
2020-01-29,used,187
2020-01-29,children,178
2020-01-30,language,318
2020-01-30,results,310
2020-01-30,study,284
2020-01-30,hearing,247
2020-01-30,using,236
2020-01-30,data,226
2020-01-30,used,198
2020-01-30,children,187
2020-01-31,language,332
2020-01-31,results,332
2020-01-31,study,303
2020-01-31,hearing,275
2020-01-31,using,253
2020-01-31,data,236
2020-01-31,children,216
2020-01-31,recognition,214
2020-02-01,results,422
2020-02-01,language,418
2020-02-01,study,376
2020-02-01,using,352
2020-02-01,data,338
2020-02-01,recognition,299
2020-02-01,hearing,296
2020-02-01,used,287
2020-02-02,results,427
2020-02-02,language,419
2020-02-02,study,385
2020-02-02,using,358
2020-02-02,data,343
2020-02-02,recognition,306
2020-02-02,hearing,303
2020-02-02,used,288
2020-02-03,language,441
2020-02-03,results,435
2020-02-03,study,402
2020-02-03,using,365
2020-02-03,data,349
2020-02-03,recognition,308
2020-02-03,hearing,308
2020-02-03,children,292
2020-02-04,language,468
2020-02-04,results,440
2020-02-04,study,415
2020-02-04,using,375
2020-02-04,data,355
2020-02-04,recognition,312
2020-02-04,children,310
2020-02-04,hearing,309
2020-02-05,language,481
2020-02-05,results,448
2020-02-05,study,427
2020-02-05,using,389
2020-02-05,data,356
2020-02-05,children,336
2020-02-05,hearing,325
2020-02-05,recognition,314
2020-02-06,language,498
2020-02-06,results,469
2020-02-06,study,437
2020-02-06,using,403
2020-02-06,data,361
2020-02-06,children,342
2020-02-06,recognition,333
2020-02-06,hearing,330
2020-02-07,language,520
2020-02-07,results,480
2020-02-07,study,445
2020-02-07,using,409
2020-02-07,data,367
2020-02-07,children,344
2020-02-07,recognition,344
2020-02-07,used,332
2020-02-08,language,521
2020-02-08,results,483
2020-02-08,study,450
2020-02-08,using,411
2020-02-08,data,370
2020-02-08,children,353
2020-02-08,recognition,347
2020-02-08,used,338
2020-02-09,language,521
2020-02-09,results,488
2020-02-09,study,456
2020-02-09,using,412
2020-02-09,data,372
2020-02-09,children,354
2020-02-09,recognition,347
2020-02-09,used,342
2020-02-10,language,535
2020-02-10,results,502
2020-02-10,study,462
2020-02-10,using,430
2020-02-10,data,377
2020-02-10,children,366
2020-02-10,used,351
2020-02-10,recognition,350
2020-02-11,language,554
2020-02-11,results,515
2020-02-11,study,476
2020-02-11,using,434
2020-02-11,children,389
2020-02-11,data,380
2020-02-11,used,358
2020-02-11,recognition,355
2020-02-12,language,556
2020-02-12,results,526
2020-02-12,study,484
2020-02-12,using,440
2020-02-12,data,398
2020-02-12,children,392
2020-02-12,used,366
2020-02-12,recognition,359
2020-02-13,language,567
2020-02-13,results,538
2020-02-13,study,493
2020-02-13,using,448
2020-02-13,data,405
2020-02-13,children,400
2020-02-13,used,377
2020-02-13,recognition,364
2020-02-14,language,574
2020-02-14,results,556
2020-02-14,study,505
2020-02-14,using,463
2020-02-14,data,414
2020-02-14,children,403
2020-02-14,used,388
2020-02-14,recognition,371
2020-02-15,language,578
2020-02-15,results,557
2020-02-15,study,511
2020-02-15,using,467
2020-02-15,data,417
2020-02-15,children,403
2020-02-15,used,392
2020-02-15,recognition,380
2020-02-16,language,582
2020-02-16,results,558
2020-02-16,study,511
2020-02-16,using,467
2020-02-16,data,417
2020-02-16,children,403
2020-02-16,used,392
2020-02-16,recognition,382
2020-02-17,language,588
2020-02-17,results,567
2020-02-17,study,518
2020-02-17,using,473
2020-02-17,data,422
2020-02-17,children,403
2020-02-17,used,402
2020-02-17,recognition,391
2020-02-18,language,592
2020-02-18,results,576
2020-02-18,study,532
2020-02-18,using,478
2020-02-18,data,432
2020-02-18,used,408
2020-02-18,children,405
2020-02-18,recognition,398
2020-02-19,language,634
2020-02-19,results,590
2020-02-19,study,552
2020-02-19,using,487
2020-02-19,data,442
2020-02-19,children,435
2020-02-19,used,422
2020-02-19,recognition,403
2020-02-20,language,649
2020-02-20,results,605
2020-02-20,study,567
2020-02-20,using,495
2020-02-20,children,456
2020-02-20,data,444
2020-02-20,used,432
2020-02-20,recognition,409
2020-02-21,language,653
2020-02-21,results,619
2020-02-21,study,579
2020-02-21,using,504
2020-02-21,children,456
2020-02-21,data,446
2020-02-21,used,441
2020-02-21,hearing,413
2020-02-22,language,653
2020-02-22,results,622
2020-02-22,study,581
2020-02-22,using,508
2020-02-22,children,456
2020-02-22,data,451
2020-02-22,used,441
2020-02-22,recognition,416
2020-02-23,language,658
2020-02-23,results,625
2020-02-23,study,586
2020-02-23,using,509
2020-02-23,children,457
2020-02-23,data,451
2020-02-23,used,445
